Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Aruba,ABW,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Afghanistan,AFG,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Angola,AGO,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Albania,ALB,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Andorra,AND,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
United Arab Emirates,ARE,Market capitalization of listed domestic companies (% of GDP),"","","","","","","",48.9325845283505,34.02944156019,54.5239203764302,43.8026499708063,25.9750958620613,26.3456194495341,45.0565844898498,48.6830034541182,52.8995642695064,57.7412832435683,59.4350582624859,54.1804935393129,59.0490069877708,84.3647226156973,133.692158579232,173.763029329514,193.369138815508,196.27702169845,
Argentina,ARG,Market capitalization of listed domestic companies (% of GDP),16.1290412248255,12.4244152562322,16.9569392155608,27.4280508755432,24.6534557360052,23.946359886693,22.0333391526542,19.8483841980828,11.0218432201051,13.7381863641294,15.0863203529933,8.22014945932331,6.27396625321678,9.61999483859266,11.4269032684242,9.43836863309546,11.4076106061133,16.8948497510525,8.76225361679707,8.79801852253825,8.36065160246713,8.58081622666602,8.36736107358926,"","",
Armenia,ARM,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","",0.383771292314693,0.403545249598453,0.213183377396629,0.212696839421871,1.29484672225421,1.16222249561655,18.7967884134297,
American Samoa,ASM,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Antigua and Barbuda,ATG,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Australia,AUS,Market capitalization of listed domestic companies (% of GDP),89.577890572046,98.815025169222,96.0328083721773,125.182973862793,126.314187544107,115.57036467233,146.423335650303,151.848387632584,64.7536703852008,135.870026259701,126.605341606122,85.6698351657442,89.6184187511424,86.6107364292327,87.7708061664944,87.8477493445524,105.108937364321,113.796208083907,88.4432185061928,106.812166424017,129.519570283705,121.240921281706,99.3088529440474,103.510800406806,99.1389650150588,
Austria,AUT,Market capitalization of listed domestic companies (% of GDP),15.2589335726408,12.8281292302235,15.7764367366494,21.6743944726516,29.3359678138249,40.2135811811776,57.7319131527299,61.1356607274506,17.7732027443837,28.5697202695265,32.3301630837915,19.8784423232203,26.0692447167614,27.5848073777544,22.0702317031415,25.3142847952661,30.7291374574845,36.3067004353975,25.8079030703192,30.0458543542059,30.406072576452,33.9021966839205,26.0820003958763,27.0935115884247,23.1541405577547,
Azerbaijan,AZE,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","",4.51253660120982,3.35973110345958,2.90985502643686,1.86274218553481,2.17767956052381,2.20049866626562,
Burundi,BDI,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Belgium,BEL,Market capitalization of listed domestic companies (% of GDP),77.0634840987753,70.0509832498738,49.3671271351809,54.5621354353657,74.0077279672413,74.7912935279234,97.0381826331265,81.8719049070703,32.323460470183,53.5589278420989,55.8036882326585,43.4981615330493,60.0940023133312,71.4229562471315,70.3595988523225,89.9167302576445,79.7315946747612,87.3998522006743,59.1725980275377,"","","","","","",
Benin,BEN,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Burkina Faso,BFA,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Bangladesh,BGD,Market capitalization of listed domestic companies (% of GDP),4.10752995306577,1.81195893415529,27.2129921496854,"","",4.74928024229449,5.36286721925589,10.9691992958956,12.7907617406419,20.4234180941606,36.1020820041211,37.0892339567701,"",34.1059370512267,39.5969990649654,33.5567501494932,26.5508730809515,29.3392000067805,24.0819788267218,18.3401778158872,24.0049718864107,26.2482228968323,25.0428850552811,25.5037744630994,19.5374016737392,
Bulgaria,BGR,Market capitalization of listed domestic companies (% of GDP),0.974559072785377,0.579548861756377,4.39942736608299,8.30041847702507,10.7193879856501,17.0266103826171,30.0314394491755,48.7667047933358,16.3001256909391,16.6330983038396,14.5521760593767,14.3083651037476,"","","","","","",23.6257905381167,23.3121468701498,25.1032405524218,20.1677745704169,17.351367145301,7.65710150559698,7.49783761646697,
Bahrain,BHR,Market capitalization of listed domestic companies (% of GDP),73.0930582659604,73.5222293003066,78.0116950650456,86.9250729444086,102.970993799121,108.742693829694,114.145707760654,124.658766682006,77.5832300642372,70.8975297892002,74.8330297002198,55.4575530409178,"","",63.4625440266412,59.1916295683291,57.235890609995,58.3423964955347,55.2536437426567,66.4632908995266,68.6655003543612,70.2449817399414,65.1388033624375,44.6098322863103,42.7504186305644,
"Bahamas, The",BHS,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Bosnia and Herzegovina,BIH,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","","","","","","","","","","","","",
Belarus,BLR,Market capitalization of listed domestic companies (% of GDP),"","","","","","","","","","","","","","",0.729333353479127,0.945907673467445,2.59567890788739,"","","","",4.06279282588662,3.38407849706567,4.72221100706981,7.91343124955594,
